title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
Solutio problematis arithmetici de inveniendo numero, qui per datos numeros divisus relinquat data residua;Solution of problems of arithmetic of finding numbers which, when divided by given numbers, leave given remainders;36;12;Latin;1740;1740;1740;journal;article;Commentarii academiae scientiarum Petropolitanae;7;46-66;1;2;18;32;E36;36;https://scholarlycommons.pacific.edu/euler-works/36
De motu planetarum et orbitarum determinatione;On the motion of planets and orbits;37;614;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;7;67-85;2;28;1;16;E37;37;https://scholarlycommons.pacific.edu/euler-works/37
Orbitae solaris determinatio;Determination of orbits around the sun;38;667;Latin;1740;1740;1740;journal;article;Commentarii academiae scientiarum Petropolitanae;7;86-96;2;28;17;25;E38;38;https://scholarlycommons.pacific.edu/euler-works/38
Solutio problematum quorundam astronomicorum;Solution to a problem concerning astronomy;39;625;Latin;1740;1740;1740;journal;article;Commentarii academiae scientiarum Petropolitanae;7;97-98;2;28;26;27;E39;39;https://scholarlycommons.pacific.edu/euler-works/39
De minimis oscillationibus corporum tam rigidorum quam flexibilium. Methodus nova et facilis.;On the smallest oscillations of rigid and flexible bodies. A new and easy method.;40;482;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;7;99-122;2;10;17;34;E40;40;https://scholarlycommons.pacific.edu/euler-works/40
De summis serierum reciprocarum;On the sums of series of reciprocals;41;174;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;7;123-134;1;14;73;86;E41;41;https://scholarlycommons.pacific.edu/euler-works/41
De linea celerrimi descensus in medio quocunque resistente;On the curve of fastest descent in whatever resistent medium;42;378;Latin;1734;1734;1734;journal;article;Commentarii academiae scientiarum Petropolitanae;7;135-149;1;25;41;53;E42;42;https://scholarlycommons.pacific.edu/euler-works/42
De progressionibus harmonicis observationes;On harmonic progressions;43;141;Latin;1734;1734;1734;journal;article;Commentarii academiae scientiarum Petropolitanae;7;150-161;1;14;87;100;E43;43;https://scholarlycommons.pacific.edu/euler-works/43
De infinitis curvis eiusdem generis seu methodus inveniendi aequationes pro infinitis curvis eiusdem generis;On infinite(ly many) curves of the same type, that is, a method of finding equations for infinite(ly many) curves of the same type;44;340;Latin;1734;1734;1734;journal;article;Commentarii academiae scientiarum Petropolitanae;7;174-189, 180-183;1;22;36;56;E44;44;https://scholarlycommons.pacific.edu/euler-works/44
Additamentum ad dissertationem de infinitis curvis eiusdem generis;Addendum to the dissertation on infinite(ly many) curves of the same type;45;341;Latin;1734;1734;1734;journal;article;Commentarii academiae scientiarum Petropolitanae;7;184-200;1;22;57;75;E45;45;https://scholarlycommons.pacific.edu/euler-works/45
Methodus universalis serierum convergentium summas quam proxime inveniendi;Universal method of accurately finding sums of convergent series;46;176;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;8;3-9;1;14;101;107;E46;46;https://scholarlycommons.pacific.edu/euler-works/46
Inventio summae cuiusque seriei ex dato termino generali;Finding the sum of any series from a given general term;47;172;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;8;9-22;1;14;108;123;E47;47;https://scholarlycommons.pacific.edu/euler-works/47
Investigatio binarum curvarum, quarum arcus eidem abscissae respondentes summam algebraicam constituant;Investigation of pairs of curves whose arcs that correspond to the same abscissa constitute an algebraic sum;48;413;Latin;1734;1734;1734;journal;article;Commentarii academiae scientiarum Petropolitanae;8;23-29;1;22;76;82;E48;48;https://scholarlycommons.pacific.edu/euler-works/48
De oscillationibus fili flexilis quotcunque pondusculis onusti;On the oscillations of a flexible wire weighted with arbitrarily many little weights (?);49;483;Latin;1734;1734;1734;journal;article;Commentarii academiae scientiarum Petropolitanae;8;30-47;2;10;35;49;E49;49;https://scholarlycommons.pacific.edu/euler-works/49
Methodus computandi aequationem meridiei;A method for computing the equation of a meridian;50;671;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;8;48-65;2;30;13;25;E50;50;https://scholarlycommons.pacific.edu/euler-works/50
De constructione aequationum ope motus tractorii aliisque ad methodum tangentium inversam pertinentibus;On the construction of equations using dragged motion, and of other things pertinent to the inverse method of tangents;51;118;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;8;66-85;1;22;83;107;E51;51;https://scholarlycommons.pacific.edu/euler-works/51
Solutio problematum rectivicationem ellipsis requirentium;Solution of a problem requiring the rectification of an ellipse;52;353;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;8;86-98;1;20;8;20;E52;52;https://scholarlycommons.pacific.edu/euler-works/52
Solutio problematis ad geometriam situs pertinentis;The solution of a problem relating to the geometry of position;53;302;Latin;1735;1735;1735;journal;article;Commentarii academiae scientiarum Petropolitanae;8;128-140;1;7;1;10;E53;53;https://scholarlycommons.pacific.edu/euler-works/53
Theorematum quorundam ad numeros primos spectantium demonstratio;A proof of certain theorems regarding prime numbers;54;24;Latin;1736;1736;1736;journal;article;Commentarii academiae scientiarum Petropolitanae;8;141-146;1;2;33;37;E54;54;https://scholarlycommons.pacific.edu/euler-works/54
Methodus universalis series summandi ulterius promota;Universal method for summation of series, further developed;55;177;Latin;1736;1736;1736;journal;article;Commentarii academiae scientiarum Petropolitanae;8;147-158;1;14;124;137;E55;55;https://scholarlycommons.pacific.edu/euler-works/55
Curvarum maximi minive proprietate gaudientium inventio nova et facilis;New and easy method of finding curves enjoying a maximal or minimal property;56;196;Latin;1736;1736;1736;journal;article;Commentarii academiae scientiarum Petropolitanae;8;159-190;1;25;54;80;E56;56;https://scholarlycommons.pacific.edu/euler-works/56
Inquisitio physica in causam fluxus ac refluxus maris;A physical inquiry into the cause of the ebb and flow of the sea;57;732;Latin;1739;1739;1739;Paris prize;article;Pièce qui ont remporté le prix de l'académie royale des sciences;1740;235-350;2;31;19;124;E57;57;https://scholarlycommons.pacific.edu/euler-works/57
Determinatio orbitae cometae qui mense Martio huius anni 1742 potissimum fuit observatus;Determination of the motion of a comet which can be observed in March of this year, 1742;58;665;Latin;1742;1742;1742;journal;article;Miscellanea Berolinensia;7;1-90;2;28;28;104;E58;58;https://scholarlycommons.pacific.edu/euler-works/58
Theoremata circa reductionem formularum integralium ad quadraturam circuli;Theorems concerning the reduction of integral formulas to the quadrature of the circle;59;205;Latin;1742;1742;1742;journal;article;Miscellanea Berolinensia;7;91-129;1;17;1;34;E59;59;https://scholarlycommons.pacific.edu/euler-works/59
De inventione integralium, si post integrationem variabili quantitati determinatus valor tribuatur;On the resolution of an integral, if after integration the value for the determined variable quantity is assigned;60;222;Latin;1742;1742;1742;journal;article;Miscellanea Berolinensia;7;129-171;1;17;35;69;E60;60;https://scholarlycommons.pacific.edu/euler-works/60
De summis serierum reciprocarum ex potestatibus numerorum naturalium ortarum dissertatio altera, in qua eaedem summationes ex fonte maxime diverso derivantur;On sums of series of reciprocals from powers of natural numbers from another discussion, in which the sums are derived principally from another source;61;175;Latin;1742;1742;1742;journal;article;Miscellanea Berolinensia;7;172-192;1;14;138;155;E61;61;https://scholarlycommons.pacific.edu/euler-works/61
De integratione aequationum differentialium altiorum graduum;On the integration of differential equations of various degrees;62;261;Latin;1742;1742;1742;journal;article;Miscellanea Berolinensia;7;193-242;1;22;108;149;E62;62;https://scholarlycommons.pacific.edu/euler-works/62
Demonstration de la somme de cette suite 1 + 1/4 + 1/9 + 1/16 + ...;Demonstration of the sum of the series 1 + 1/4 + 1/9 + 1/16 + ...;63;;French;1741;1741;1741;journal;article;Journal litteraire d'Allemagne, de Suisse et du Nord;2;115-127;1;14;177;186;E63;63;https://scholarlycommons.pacific.edu/euler-works/63
Leonhardus Eulerus mathematicus acutissimus ad auctorem;Leonhard Euler, most sagacious mathematician, to the author;64;;Latin;;;;published;letter;Lausanne & Geneva: Marcum-Michaelem Bousquet;4;389;2;12;1;1;E64;64;https://scholarlycommons.pacific.edu/euler-works/64
Methodus inveniendi lineas curvas maximi minimive proprietate gaudentes, sive solutio problematis isoperimetrici lattissimo sensu accepti;A method for finding curved lines enjoying properties of maximum or minimum, or solution of isoperimetric problems in the broadest accepted sense;65;195;Latin;1743;1743;1743;quarto;book;Lausanne & Geneva: Marcum-Michaelem Bousquet;1744;1-322;1;24;1;308;E65;65;https://scholarlycommons.pacific.edu/euler-works/65
Theoria motuum planetarum et cometarum;Theory of the motions of planets and comets;66;604;Latin;1744;1744;1744;quarto;book;Berlin: Ambrosius Haude;;1-188;2;28;105;251;E66;66;https://scholarlycommons.pacific.edu/euler-works/66
Beantwortung verschiedener Fragen uber die Beschaffenheit, Bewegung und Wurckung der Cometen;Answers to various questions about the condition, motion, and effects of comets;67;660;German;1744;1744;1744;octavo;book;Berlin: Ambrosius Haude;;1-56;2;31;125;150;E67;67;https://scholarlycommons.pacific.edu/euler-works/67
Fortgesetzte Beantwortung der Fragen uber die Beschaffenheit, Bewegung und Wurckung der Cometen;Further answers to various questions about the condition, motion, and effects of comets;68;661;German;1744;1744;1744;octavo;book;Berlin: Ambrosius Haude;;1-92;2;31;151;194;E68;68;https://scholarlycommons.pacific.edu/euler-works/68
De communicatione motus in collisione corporum sese non directe percutientium;On the imparting of motion from a collision of bodies not striking each other directly;69;547;Latin;1736;1736;1736;journal;article;Commentarii academiae scientiarum Petropolitanae;9;50-76;2;8;7;26;E69;69;https://scholarlycommons.pacific.edu/euler-works/69
De constructione aequationum;On the construction of equations;70;119;Latin;1737;1737;1737;journal;article;Commentarii academiae scientiarum Petropolitanae;9;85-97;1;22;150;161;E70;70;https://scholarlycommons.pacific.edu/euler-works/70
De fractionibus continuis dissertatio;A dissertation on continued fractions;71;89;Latin;1737;1737;1737;journal;article;Commentarii academiae scientiarum Petropolitanae;9;98-137;1;14;187;216;E71;71;https://scholarlycommons.pacific.edu/euler-works/71
Variae observationes circa series infinitas;Various observations about infinite series;72;121;Latin;1737;1737;1737;journal;article;Commentarii academiae scientiarum Petropolitanae;9;160-188;1;14;217;244;E72;72;https://scholarlycommons.pacific.edu/euler-works/72
Solutio problematis geometrici circa lunulas a circulis formatas;The solution to a geometric problem about circles shaped as moons;73;317;Latin;1737;1737;1737;journal;article;Commentarii academiae scientiarum Petropolitanae;9;207-221;1;26;1;14;E73;73;https://scholarlycommons.pacific.edu/euler-works/73
De variis modis circuli quadraturam numeris proxime exprimendi;On various methods for expressing the quadrature of a circle with verging numbers;74;313;Latin;1738;1738;1738;journal;article;Commentarii academiae scientiarum Petropolitanae;9;222-236;1;14;245;259;E74;74;https://scholarlycommons.pacific.edu/euler-works/74
Solutio problematis in Novorum Actorum Eruditorum mense novembri A. 1743 propositi;Solution of a problem proposed in the Nova Acta Eruditorum in November 1743;75;;Latin;1744;1744;1744;journal;article;Nova acta eruditorum;1744;315-336;1;27;29;49;E75;75;https://scholarlycommons.pacific.edu/euler-works/75
Novae et correctae tabulae ad loca lunae computanda;New and correct tables for computing the location of the moon;76;683;Latin;1738;1738;1738;quarto;book;Berlin: Michaelis;;;;;;;E76;76;https://scholarlycommons.pacific.edu/euler-works/76
Neue Grundsätze der Artillerie;New Principles of Gunnery;77;602;German;1745;1745;1745;octavo;book;Berlin: Ambrosius Haude;;;2;14;1;412;E77;77;https://scholarlycommons.pacific.edu/euler-works/77
Dissertation sur la meilleure construction du cabestan;Essay on a better construction of a capstan;78;;French;1738;1738;1738;Paris prize;article;Pièce qui ont remporté le prix de l'académie royale des sciences;1741;29-87;2;20;36;82;E78;78;https://scholarlycommons.pacific.edu/euler-works/78
Problema geometricum propositum publice ab Anonymo Geometra;A problem of geometry proposed publicly by an anonymous geometer;79;;Latin;1745;1745;1745;journal;article;Nova acta eruditorum;1745;523;1;27;50;50;E79;79;https://scholarlycommons.pacific.edu/euler-works/79
Opuscula varii argumenti;Various short works on reason;80;;Latin;;;;journal;article;Nova acta eruditorum;1748;595-608;;;;;E80;80;https://scholarlycommons.pacific.edu/euler-works/80
Gedancken von den Elementen der Corper;Thoughts on the elements of bodies;81;742;German;1746;1746;1746;octavo;book;Berlin: Ambrosius Haude and Johann Carl Spener;1746;;3;2;347;366;E81;81;https://scholarlycommons.pacific.edu/euler-works/81
De la force de percussion et de sa véritable mesure;Percussion and its true measurement;82;548;French;1744;1744;1744;journal;article;Mémoires de l'académie des sciences de Berlin;1;21-53;2;8;27;53;E82;82;https://scholarlycommons.pacific.edu/euler-works/82
Sur quelques proprietés des sections coniques, qui conviennent à une infinité d'autres lignes courbes;On several properties of the conic sections which intersect with an infinity of other curved lines;83;345;French;1742;1742;1742;journal;article;Mémoires de l'académie des sciences de Berlin;1;71-98;1;27;51;73;E83;83;https://scholarlycommons.pacific.edu/euler-works/83
Leonhardi Euleri animadversio ad libri praecedentis sec. 83 et seq. de curvis elasticis;Observation by Leonhard Euler on sections 83 and following of the preceding book, concerning elastic curves;84;;Latin;1746;1746;1746;journal;article;Nova acta eruditorum;1746;92-95;1;25;81;83;E84;84;https://scholarlycommons.pacific.edu/euler-works/84
Solutio problematis catoptrici in his actis A. 1745 Mense Septembri P. I pag. 523 propositi;Solution to a catoptric problem proposed in this journal in September 1745 on page 523;85;;Latin;1746;1746;1746;journal;article;Nova acta eruditorum;1746;230-233;1;27;74;77;E85;85;https://scholarlycommons.pacific.edu/euler-works/85
De motu corporum in superficiebus mobilibus;On the movement of bodies on movable surfaces;86;;Latin;1746;1746;1746;collection;article;Opuscula varii argumenti;1;1-136;2;6;75;174;E86;86;https://scholarlycommons.pacific.edu/euler-works/86
Tabulae astronomicae solis et lunae;Astronomical table of the sun and the moon;87;681;Latin;1745;1745;1745;collection;article;Opuscula varii argumenti;1;137-168;2;23;1;10;E87;87;https://scholarlycommons.pacific.edu/euler-works/87
Nova theoria lucis et colorum;A new theory of light and colors;88;685;Latin;1744;1744;1744;collection;article;Opuscula varii argumenti;1;169-244;3;5;1;45;E88;88;https://scholarlycommons.pacific.edu/euler-works/88
De relaxione motus planetarum;On the running down of the motion of the planets;89;621;Latin;1746;1746;1746;collection;article;Opuscula varii argumenti;1;285-276;2;13;195;220;E89;89;https://scholarlycommons.pacific.edu/euler-works/89
Enodatio quaestionis utrum materiae facultas cogitandi tribui possit necne;Analysis of the question whether the faculty of thinking can be attributed to matter or not;90;745;Latin;1746;1746;1746;collection;article;Opuscula varii argumenti;1;277-286;3;2;367;372;E90;90;https://scholarlycommons.pacific.edu/euler-works/90
Recherches physiques sur la nature des moindres parties de la matière;Physical investigations on the nature of the smallest parts of matter;91;743;French;1744;1744;1744;collection;article;Opuscula varii argumenti;1;287-300;3;1;3;15;E91;91;https://scholarlycommons.pacific.edu/euler-works/91
Rettung der Göttlichen Offenbahrung gegen die Einwürfe der Freygeister;Defense of divine revelation against the objections of the freethinkers;92;747;German;1747;1747;1747;octavo;book;Berlin: Ambrosius Haude and Johann Carl Spener;;1-46;3;12;1;265;E92;92;https://scholarlycommons.pacific.edu/euler-works/92
